image_name,class_label,gt_crop,gt_disease,r3_consensus_crop,r3_consensus_disease,r3_consensus_diseased,r3_mean_confidence,r3_crop_agreement,r3_disease_agreement,r1_consensus_crop,r1_consensus_disease,r1_consensus_diseased,r1_mean_confidence,r1_crop_agreement,r1_disease_agreement,baseline_crop_correct,baseline_disease_correct,baseline_both_correct,consensus_crop_correct,consensus_disease_correct,consensus_both_correct,r1_qwen2.5vl:7b_crop,r1_qwen2.5vl:7b_disease,r1_qwen2.5vl:7b_both_correct,r2_qwen2.5vl:7b_crop,r2_qwen2.5vl:7b_disease,r2_qwen2.5vl:7b_both_correct,r3_qwen2.5vl:7b_crop,r3_qwen2.5vl:7b_disease,r3_qwen2.5vl:7b_both_correct,r2_qwen2.5vl:7b_influenced_by,r3_qwen2.5vl:7b_influenced_by,r2_qwen2.5vl:7b_disease_changed,r3_qwen2.5vl:7b_disease_changed,r1_qwen2.5vl:3b_crop,r1_qwen2.5vl:3b_disease,r1_qwen2.5vl:3b_both_correct,r2_qwen2.5vl:3b_crop,r2_qwen2.5vl:3b_disease,r2_qwen2.5vl:3b_both_correct,r3_qwen2.5vl:3b_crop,r3_qwen2.5vl:3b_disease,r3_qwen2.5vl:3b_both_correct,r2_qwen2.5vl:3b_influenced_by,r3_qwen2.5vl:3b_influenced_by,r2_qwen2.5vl:3b_disease_changed,r3_qwen2.5vl:3b_disease_changed,r1_llava:7b_crop,r1_llava:7b_disease,r1_llava:7b_both_correct,r2_llava:7b_crop,r2_llava:7b_disease,r2_llava:7b_both_correct,r3_llava:7b_crop,r3_llava:7b_disease,r3_llava:7b_both_correct,r2_llava:7b_influenced_by,r3_llava:7b_influenced_by,r2_llava:7b_disease_changed,r3_llava:7b_disease_changed
g (12).png,"Citrus,Greening",Citrus,Greening,Citrus,Greening,1,1.0,1.0,1.0,Citrus,Greening,1,0.875,1.0,0.675,1,1,1,1,1,1,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,None,None,0,0,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,qwen2.5vl:7b,,0,0,Citrus,Healthy,0,Citrus,Greening,1,Citrus,Greening,1,AGREE with qwen2.5vl:7b,None,1,0
b (144).png,"Citrus,Black Spot",Citrus,Black Spot,Citrus,Greening,1,0.9666666666666667,1.0,1.0,Citrus,Greening,1,0.9,1.0,0.675,1,0,0,1,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,None,None,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,llava:7b,qwen2.5vl:7b and llava:7b,0,0,Citrus,Black Spot,1,Citrus,Greening,0,Citrus,Greening,0,qwen2.5vl:7b,qwen2.5vl:7b,1,0
g (88).png,"Citrus,Greening",Citrus,Greening,Citrus,Healthy,0,0.9666666666666667,1.0,0.675,Citrus,Healthy,0,0.925,1.0,0.662,1,0,0,1,0,0,Citrus,Greening,1,Citrus,Greening,1,Citrus,Healthy,0,None,None,0,1,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Healthy,0,None,llava:7b,0,0,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Greening,1,qwen2.5vl:3b,"qwen2.5vl:7b, llava:7b",0,1
51.pn.png,"Citrus,Healthy",Citrus,Healthy,Citrus,Healthy,0,0.6666666666666666,1.0,0.662,Citrus,Healthy,0,0.9,1.0,0.662,1,1,1,1,1,1,Citrus,Greening,0,Citrus,Greening,0,Citrus,Healthy,1,None,None,0,1,Citrus,Healthy,1,Citrus,Healthy,1,Citrus,Black Spot,0,None,"<exact peer name who changed your verdict, or None>",0,1,Citrus,Healthy,1,Citrus,Healthy,1,Citrus,Healthy,1,None,qwen2.5vl:3b,0,0
24.pn.png,"Citrus,Healthy",Citrus,Healthy,Citrus,Healthy,0,1.0,1.0,1.0,Citrus,Healthy,0,0.925,1.0,0.662,1,1,1,1,1,1,Citrus,Greening,0,Citrus,Greening,0,Citrus,Healthy,1,None,None,0,1,Citrus,Healthy,1,Citrus,Healthy,1,Citrus,Healthy,1,None,None,0,0,Citrus,Healthy,1,Citrus,Healthy,1,Citrus,Healthy,1,qwen2.5vl:7b,qwen2.5vl:7b,0,0
13.pn.png,"Citrus,Canker",Citrus,Canker,Citrus,Black Spot,1,0.9833333333333334,1.0,1.0,Citrus,Black Spot,1,0.925,1.0,1.0,1,0,0,1,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,None,None,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Both qwen2.5vl:7b and llava:7b,"qwen2.5vl:7b, llava:7b",0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Qwen2.5vl:7b and qwen2.5vl:3b,None,0,0
g (113).png,"Citrus,Greening",Citrus,Greening,Citrus,Greening,0,0.9666666666666667,1.0,0.662,Citrus,Healthy,0,0.925,1.0,0.662,1,0,0,1,1,1,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,None,None,0,0,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Healthy,0,None,None,0,0,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Greening,1,Qwen2.5vl:3b,Qwen2.5vl:7b,0,1
b (14).png,"Citrus,Black Spot",Citrus,Black Spot,Citrus,Greening,1,0.9333333333333332,1.0,1.0,Citrus,Greening,1,0.875,1.0,0.675,1,0,0,1,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,qwen2.5vl:3b,None,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,qwen2.5vl:7b,qwen2.5vl:3b,0,0,Citrus,Healthy,0,Citrus,Greening,0,Citrus,Greening,0,Qwen2.5vl:7b,None,1,0
g (134).png,"Citrus,Greening",Citrus,Greening,Citrus,Healthy,0,0.9666666666666667,1.0,0.675,Citrus,Healthy,0,0.9,1.0,0.662,1,0,0,1,0,0,Citrus,Greening,1,Citrus,Greening,1,Citrus,Healthy,0,qwen2.5vl:7b,None,0,1,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Healthy,0,None,None,0,0,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Greening,1,None,None,0,1
b (86).png,"Citrus,Black Spot",Citrus,Black Spot,Citrus,Healthy,0,1.0,1.0,1.0,Citrus,Healthy,0,0.925,1.0,0.662,1,0,0,1,0,0,Citrus,Black Spot,1,Citrus,Black Spot,1,Citrus,Healthy,0,None,None,0,1,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Healthy,0,None,None,0,0,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Healthy,0,qwen2.5vl:3b,qwen2.5vl:3b,0,0
123.p.png,"Citrus,Canker",Citrus,Canker,Citrus,Black Spot,1,0.9666666666666667,1.0,0.662,Citrus,Black Spot,1,0.875,1.0,0.662,1,0,0,1,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,None,None,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,None,llava:7b,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Qwen2.5vl:7b,None,0,0
54.pn.png,"Citrus,Canker",Citrus,Canker,Citrus,Black Spot,1,0.9666666666666667,1.0,0.662,Citrus,Black Spot,1,0.9166666666666666,1.0,0.662,1,0,0,1,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,None,None,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,llava:7b,None,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,qwen2.5vl:3b,qwen2.5vl:7b and llava:7b,0,0
b (226).png,"Citrus,Black Spot",Citrus,Black Spot,Citrus,Black Spot,0,1.0,1.0,0.662,Citrus,Healthy,0,0.925,1.0,0.662,1,0,0,1,1,1,Citrus,Black Spot,1,Citrus,Black Spot,1,Citrus,Black Spot,1,None,None,0,0,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Healthy,0,None,,0,0,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Black Spot,1,None,None,0,1
23.pn.png,"Citrus,Healthy",Citrus,Healthy,Citrus,Healthy,0,0.9666666666666667,1.0,1.0,Citrus,Healthy,0,0.925,1.0,0.662,1,1,1,1,1,1,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Healthy,1,None,None,0,1,Citrus,Healthy,1,Citrus,Healthy,1,Citrus,Healthy,1,None,None,0,0,Citrus,Healthy,1,Citrus,Healthy,1,Citrus,Healthy,1,qwen2.5vl:7b,qwen2.5vl:7b,0,0
g (160).png,"Citrus,Greening",Citrus,Greening,Citrus,Greening,1,0.9666666666666667,1.0,1.0,Citrus,Greening,1,0.9166666666666666,1.0,0.675,1,1,1,1,1,1,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,qwen2.5vl:3b,None,0,0,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,qwen2.5vl:7b,"qwen2.5vl:7b, llava:7b",0,0,Citrus,Healthy,0,Citrus,Greening,1,Citrus,Greening,1,None,None,1,0
b (94).png,"Citrus,Black Spot",Citrus,Black Spot,Citrus,Greening,1,0.9666666666666667,1.0,1.0,Citrus,Greening,1,0.8999999999999999,1.0,0.675,1,0,0,1,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,qwen2.5vl:3b,None,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,qwen2.5vl:7b,qwen2.5vl:3b,0,0,Citrus,Healthy,0,Citrus,Greening,0,Citrus,Greening,0,AGREE with qwen2.5vl:7b,None,1,0
bl (6).png,"Citrus,Black Spot",Citrus,Black Spot,Citrus,Canker,1,0.9666666666666667,1.0,0.662,Citrus,Greening,1,0.8500000000000001,1.0,0.675,1,0,0,1,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Canker,0,None,llava:7b,0,1,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,qwen2.5vl:7b,llava:7b,0,0,Citrus,Canker,0,Citrus,Canker,0,Citrus,Canker,0,qwen2.5vl:7b,qwen2.5vl:7b,0,0
b (281).png,"Citrus,Black Spot",Citrus,Black Spot,Citrus,Greening,1,0.9666666666666667,1.0,1.0,Citrus,Greening,1,0.9166666666666666,1.0,0.675,1,0,0,1,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,None,None,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,None,qwen2.5vl:3b,0,0,Citrus,Black Spot,1,Citrus,Greening,0,Citrus,Greening,0,Qwen2.5vl:7b,None,1,0
7.png.png,"Citrus,Healthy",Citrus,Healthy,Citrus,Greening,1,0.9333333333333332,1.0,1.0,Citrus,Greening,1,0.875,1.0,0.675,1,0,0,1,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,qwen2.5vl:3b,None,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,qwen2.5vl:7b,qwen2.5vl:7b,0,0,Citrus,Healthy,1,Citrus,Greening,0,Citrus,Greening,0,None,None,1,0
g (42).png,"Citrus,Greening",Citrus,Greening,Citrus,Healthy,0,1.0,1.0,0.675,Citrus,Healthy,0,0.925,1.0,0.662,1,0,0,1,0,0,Citrus,Greening,1,Citrus,Greening,1,Citrus,Healthy,0,None,None,0,1,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Healthy,0,None,None,0,0,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Greening,1,None,None,0,1
156.p.png,"Citrus,Canker",Citrus,Canker,Citrus,Black Spot,1,0.9666666666666667,1.0,0.662,Citrus,Black Spot,1,0.9166666666666666,1.0,0.662,1,0,0,1,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,qwen2.5vl:7b,None,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,None,llava:7b,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,qwen2.5vl:7b,"qwen2.5vl:7b, llava:7b",0,0
59.pn.png,"Citrus,Canker",Citrus,Canker,Citrus,Black Spot,1,0.9666666666666667,1.0,1.0,Citrus,Black Spot,1,0.8999999999999999,1.0,1.0,1,0,0,1,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,None,None,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,"llava:7b, qwen2.5vl:7b",qwen2.5vl:7b and llava:7b,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Qwen2.5vl:7b,None,0,0
64.pn.png,"Citrus,Canker",Citrus,Canker,Citrus,Black Spot,1,1.0,1.0,1.0,Citrus,Black Spot,1,0.9166666666666666,1.0,1.0,1,0,0,1,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,None,None,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Both qwen2.5vl:7b and llava:7b,,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,qwen2.5vl:7b and qwen2.5vl:3b,qwen2.5vl:7b and llava:7b,0,0
97.pn.png,"Citrus,Canker",Citrus,Canker,Citrus,Black Spot,1,1.0,1.0,1.0,Citrus,Black Spot,1,0.9333333333333332,1.0,1.0,1,0,0,1,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,None,None,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,None,None,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Qwen2.5vl:7b and qwen2.5vl:3b,None,0,0
84.pn.png,"Citrus,Canker",Citrus,Canker,Citrus,Greening,1,0.9666666666666667,1.0,1.0,Citrus,Greening,1,0.8500000000000001,1.0,1.0,1,0,0,1,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,None,None,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,"qwen2.5vl:7b, llava:7b",Both qwen2.5vl:7b and llava:7b,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,Qwen2.5vl:7b,None,0,0
b (270).png,"Citrus,Black Spot",Citrus,Black Spot,Citrus,Greening,1,0.9666666666666667,1.0,1.0,Citrus,Greening,1,0.875,1.0,0.675,1,0,0,1,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,None,None,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,None,qwen2.5vl:3b,0,0,Citrus,Healthy,0,Citrus,Greening,0,Citrus,Greening,0,None,qwen2.5vl,1,0
161.p.png,"Citrus,Canker",Citrus,Canker,Citrus,Healthy,0,1.0,1.0,1.0,Citrus,Healthy,0,0.925,1.0,0.662,1,0,0,1,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Healthy,0,None,None,0,1,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Healthy,0,None,None,0,0,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Healthy,0,Qwen2.5vl:7b,llava:7b,0,0
b (162).png,"Citrus,Black Spot",Citrus,Black Spot,Citrus,Black Spot,1,1.0,1.0,1.0,Citrus,Black Spot,1,0.875,1.0,0.675,1,1,1,1,1,1,Citrus,Black Spot,1,Citrus,Black Spot,1,Citrus,Black Spot,1,None,None,0,0,Citrus,Black Spot,1,Citrus,Black Spot,1,Citrus,Black Spot,1,"qwen2.5vl:7b, llava:7b",,0,0,Citrus,Canker,0,Citrus,Canker,0,Citrus,Black Spot,1,None,qwen2.5vl:3b,0,1
138.p.png,"Citrus,Canker",Citrus,Canker,Citrus,Black Spot,1,0.9666666666666667,1.0,0.662,Citrus,Black Spot,1,0.9166666666666666,1.0,0.662,1,0,0,1,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,None,None,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,qwen2.5vl:3b,"qwen2.5vl:7b, llava:7b",0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,qwen2.5vl:7b,qwen2.5vl:7b,0,0
45.pn.png,"Citrus,Healthy",Citrus,Healthy,Citrus,Healthy,0,1.0,1.0,1.0,Citrus,Healthy,0,0.925,1.0,0.662,1,1,1,1,1,1,Citrus,Greening,0,Citrus,Healthy,1,Citrus,Healthy,1,None,None,1,0,Citrus,Healthy,1,Citrus,Healthy,1,Citrus,Healthy,1,None,,0,0,Citrus,Healthy,1,Citrus,Healthy,1,Citrus,Healthy,1,None,None,0,0
143.p.png,"Citrus,Canker",Citrus,Canker,Citrus,Black Spot,1,1.0,1.0,1.0,Citrus,Black Spot,1,0.925,1.0,1.0,1,0,0,1,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,None,None,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,"qwen2.5vl:7b, llava:7b",None,0,0,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Black Spot,0,None,None,0,0
g (204).png,"Citrus,Greening",Citrus,Greening,Citrus,Healthy,0,1.0,1.0,1.0,Citrus,Healthy,0,0.9,1.0,0.662,1,0,0,1,0,0,Citrus,Greening,1,Citrus,Greening,1,Citrus,Healthy,0,None,None,0,1,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Healthy,0,None,,0,0,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Healthy,0,qwen2.5vl:7b,qwen2.5vl:7b,0,0
40.pn.png,"Citrus,Healthy",Citrus,Healthy,Citrus,Greening,1,0.9666666666666667,1.0,1.0,Citrus,Greening,1,0.875,1.0,0.675,1,0,0,1,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,None,None,0,0,Citrus,Greening,0,Citrus,Greening,0,Citrus,Greening,0,qwen2.5vl:7b,qwen2.5vl:3b,0,0,Citrus,Healthy,1,Citrus,Greening,0,Citrus,Greening,0,None,qwen2.5vl,1,0
28.pn.png,"Citrus,Healthy",Citrus,Healthy,Citrus,Healthy,0,0.9833333333333334,1.0,1.0,Citrus,Healthy,0,0.95,1.0,0.662,1,1,1,1,1,1,Citrus,Black Spot,0,Citrus,Black Spot,0,Citrus,Healthy,1,None,None,0,1,Citrus,Healthy,1,Citrus,Healthy,1,Citrus,Healthy,1,None,qwen2.5vl:7b and llava:7b,0,0,Citrus,Healthy,1,Citrus,Healthy,1,Citrus,Healthy,1,qwen2.5vl:7b,qwen2.5vl:7b,0,0
g (157).png,"Citrus,Greening",Citrus,Greening,Citrus,Healthy,0,0.9333333333333332,1.0,0.662,Citrus,Healthy,0,0.9,1.0,0.662,1,0,0,1,0,0,Citrus,Greening,1,Citrus,Greening,1,Citrus,Healthy,0,None,None,0,1,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Greening,1,None,llava:7b,0,1,Citrus,Healthy,0,Citrus,Healthy,0,Citrus,Healthy,0,Qwen2.5vl:7b,None,0,0
g (125).png,"Citrus,Greening",Citrus,Greening,Citrus,Greening,1,0.95,1.0,1.0,Citrus,Greening,1,0.875,1.0,0.675,1,1,1,1,1,1,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,qwen2.5vl:3b,qwen2.5vl:3b,0,0,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,qwen2.5vl:7b,,0,0,Citrus,Healthy,0,Citrus,Greening,1,Citrus,Greening,1,AGREE with peer assessments by name: qwen2.5vl:7b and qwen2.5vl:3b,None,1,0
g (11).png,"Citrus,Greening",Citrus,Greening,Citrus,Greening,1,0.9666666666666667,1.0,1.0,Citrus,Greening,1,0.875,1.0,0.675,1,1,1,1,1,1,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,qwen2.5vl:3b,None,0,0,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,llava:7b,qwen2.5vl:3b,0,0,Citrus,Healthy,0,Citrus,Greening,1,Citrus,Greening,1,Qwen2.5vl:7b,None,1,0
g (15).png,"Citrus,Greening",Citrus,Greening,Citrus,Greening,1,0.9666666666666667,1.0,1.0,Citrus,Greening,1,0.875,1.0,0.675,1,1,1,1,1,1,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,None,None,0,0,Citrus,Greening,1,Citrus,Greening,1,Citrus,Greening,1,qwen2.5vl:7b,qwen2.5vl:3b,0,0,Citrus,Healthy,0,Citrus,Greening,1,Citrus,Greening,1,None,qwen2.5vl's initial verdict and the subsequent discussion with peers.,1,0
